,cms_contentId,tot,fav,skipped
6293,396658087.0,4.0,4.0,0.0
6294,580695520.0,1.0,1.0,0.0
6295,58298220.0,3149.0,2057.0,610.0
6296,2592573.0,7.0,0.0,0.0
6297,29457688.0,1.0,1.0,0.0
6298,316695630.0,1.0,1.0,0.0
6299,124217692.0,225.0,40.0,130.0
6300,22574321.0,2.0,1.0,0.0
6301,7078237.0,2784.0,1979.0,437.0
6302,29457640.0,4.0,3.0,1.0
6303,401257059.0,4.0,3.0,0.0
6304,15625797.0,28.0,23.0,4.0
6305,177633333.0,1.0,0.0,0.0
6306,9234696.0,5.0,3.0,0.0
6307,3382219.0,110.0,27.0,65.0
6308,56945460.0,1.0,1.0,0.0
6309,382547135.0,4.0,3.0,1.0
6310,413669844.0,3.0,2.0,0.0
6311,31802979.0,3.0,2.0,0.0
6312,118140757.0,1.0,1.0,0.0
6313,233705892.0,8.0,5.0,0.0
6314,357744530.0,2.0,2.0,0.0
6315,4993103.0,1347.0,398.0,685.0
6316,56802643.0,2860.0,238.0,2418.0
6317,320888840.0,1.0,1.0,0.0
6318,124179294.0,51.0,27.0,15.0
6319,552678242.0,1.0,1.0,0.0
6320,15538741.0,28.0,12.0,13.0
6321,321035248.0,4.0,4.0,0.0
6322,27770545.0,3.0,3.0,0.0
6323,6043715.0,9.0,3.0,0.0
6324,72153638.0,2.0,2.0,0.0
6325,374776639.0,1137.0,502.0,444.0
6326,6404221.0,18.0,17.0,0.0
6327,492420741.0,2.0,2.0,0.0
6328,2553994.0,3.0,2.0,0.0
6329,1090753.0,2.0,1.0,0.0
6330,170554653.0,5.0,3.0,0.0
6331,220852331.0,1.0,1.0,0.0
6332,6868108.0,3.0,3.0,0.0
6333,40749139.0,20.0,10.0,2.0
6334,14104720.0,1.0,1.0,0.0
6335,178964547.0,6.0,3.0,1.0
6336,117818745.0,5.0,1.0,1.0
6337,4957049.0,180.0,50.0,87.0
6338,1090750.0,1.0,0.0,0.0
6339,15623439.0,7.0,1.0,0.0
6340,257536309.0,1.0,1.0,0.0
